title,authors,groups,keywords,topics,abstract
Internally Stable Kidney Exchange,"Yicheng Liu, Pingzhong Tang and Wenyi Fang",Multiagent Systems (MAS),"Kidney exchang Stable matchin Maximum weighted matching","GTEP: Auctions and Market-Based System MAS: Mechanism Design","Stability is a central concept in matching-based mechanism design. It imposes a fundamental requirement that no subset of agents could beneficially deviate from the prescribed outcome. However, deployment of stability in the current design of kidney exchange mechanisms presents at least two challenges. First, it reduces social welfare of the mechanism and sometimes prevent the mechanism from producing any outcome at all. Second, it sometimes incurs computation cost to clear the mechanism In this paper, we propose an alternative notion of stability. Our theoretical and experimental studies demonstrate that the new notion of stability addresses both challenges above and could be deployed in the current kidney exchange design."
Intra-view and Inter-view Supervised Correlation Analysis for Multi-view Feature Learning,"Xiao-Yuan Jing, Rui-Min Hu, Yang-Ping Zhu, Shan-Shan Wu, Chao Liang and Jing-Yu Yang",Novel Machine Learning Algorithms (NMLA),"Canonical correlation analysis (CCA Multi-view supervised feature learnin Inter-view and intra-view supervised correlation analysis (I2SCA Analytical solutio Kernelized extension","NMLA: Dimension Reduction/Feature Selectio NMLA: Supervised Learning (Other VIS: Statistical Methods and Learning","The object always can be observed at multiple views, and multi-view feature learning is an attractive research topic with great practical success. Canonical correlation analysis (CCA) has become an important technique in multi-view learning, since it can fully utilize the inter-view correlation. In this paper, we mainly study the CCA based multi-view supervised feature learning technique where the labels of training samples are known. Several supervised CCA based multi-view methods have been presented, which focus on investigating the supervised correlation across different views. However, they take no account of the intra-view correlation between samples. Researchers have also introduced the discriminant analysis technique into multi-view feature learning, such as multi-view discriminant analysis (MvDA). But they ignore the canonical correlation within each view and between all views. In this paper, we propose a novel multi-view feature learning approach based on intra-view and inter-view supervised correlation analysis (I2SCA), which can explore the useful correlation information of samples within each view and between all views. The objective function of I2SCA is designed to simultaneously extract the discriminatingly correlated features from both inter-view and intra-view. It can obtain an analytical solution without iterative calculation. And we provide a kernelized extension of I2SCA to tackle the linearly inseparable problem in the original feature space. Three widely-used datasets are employed as test data. Experimental results demonstrate that our proposed approaches outperform several representative multi-view supervised feature learning methods."
Finding Median Point-Set Using Earth Mover's Distance,Hu Ding and Jinhui Xu,"Heuristic Search and Optimization (HSO Machine Learning Applications (MLA)","Prototype learnin Earth mover's distanc Optimization","HSO: Heuristic Searc HSO: Optimizatio HSO: Evaluation and Analysis (Search and Optimization MLA: Applications of Unsupervised Learnin MLA: Machine Learning Applications (General/other NMLA: Evaluation and Analysis (Machine Learning NMLA: Unsupervised Learning (Other NMLA: Machine Learning (General/other)","In this paper, we study a prototype learning problem, called {\em Median Point-Set}, whose objective is to construct a prototype for a set of given point-sets so as to minimize the total earth mover's distances (EMD) between the prototype and the point-sets, where EMD between two point-sets is measured under affine transformation. For this problem, we present the first purely geometric approach. Comparing to existing graph-based approaches ({\em e.g.,} median graph, shock graph), our approach has several unique advantages: (1) No encoding and decoding procedures are needed to map between objects and graphs, and therefore avoid errors caused by information losing during the mappings; (2) Staying only in the geometric domain makes our approach computationally more efficient and robust to noise. As a key ingredient of our approach, we present  the first quality guaranteed algorithm for minimizing EMD between two point-sets under affine transformation. We evaluate the performance of our technique for prototype reconstruction on a random dataset and a benchmark dataset, handwriting Chinese characters.  Experiments suggest  that our technique considerably outperforms  the existing graph-based methods."
Preprocessing for Propositional Model Counting,Jean Marie Lagniez and Pierre Marquis,Search and Constraint Satisfaction (SCS),"model countin preprocessin propositiona compilatio direct model counting","SCS: SAT and CSP: Solvers and Tool SCS: Constraint Satisfaction (General/other)","This paper is concerned with preprocessing techniques for propositional model counting. We have implemented a preprocessor which includes many elementary preprocessing techniques, including occurrence reduction, vivification, backbone identification, as well as equivalence, AND and XOR gate identification and replacement. We performed intensive experiments, using a huge number of benchmarks coming from a large number of families. Two approaches to model counting have been considered downstream: ”direct” model counting using Cachet and compilation-based model counting, based on the C2D compiler. The experimental results we have obtained show that our preprocessor is both efficient and robust."
Propagating Regular Counting Constraints,"Nicolas Beldiceanu, Pierre Flener, Justin Pearson and Pascal Van Hentenryck",Search and Constraint Satisfaction (SCS),"constraints over a sequenc finite automat countin propagator domain consistency","SCS: Constraint Satisfactio SCS: Global Constraints","Constraints over finite sequences of variables are ubiquitous in sequencing and timetabling. This led to general modeling techniques and generic propagators, often based on deterministic finite automata (DFA) and their extensions. We consider counter-DFAs (cDFA), which provide concise models for regular counting constraints, that is constraints over the number of times a regular-language pattern occurs in a sequence. We show how to enforce domain consistency in polynomial time for atmost and atleast regular counting constraints based on the frequent case of a cDFA with only accepting states and a single counter that can be increased by transitions. We also show that the satisfaction of exact regular counting constraints is NP-hard and that an incomplete propagator for exact regular counting constraints is faster and provides more pruning than the existing propagator from (Beldiceanu, Carlsson, and Petit 2004). Finally, by avoiding the unrolling of the cDFA used by COSTREGULAR, the space complexity reduces from O(n|\Sigma||Q|) to O(n(|\Sigma|+|Q|)), where \Sigma is the alphabet and Q the state set of the cDFA."
SOML: Sparse Online Metric Learning with Application to Image Retrieval,"Xingyu Gao, Steven C.H. Hoi, Yongdong Zhang, Ji Wan and Jintao Li",Machine Learning Applications (MLA),"Sparse Online Learnin Distance Metric Learnin Image Retrieval",MLA: Applications of Supervised Learning,"Image similarity search plays a key role in many multimedi applications, where multimedia data (such as images and videos) ar usually represented in high-dimensional feature space. In thi paper, we propose a novel Sparse Online Metric Learning (SOML scheme for learning sparse distance functions from large-scal high-dimensional data and explore its application to imag retrieval. In contrast to many existing distance metric learnin algorithms that are often designed for low-dimensional data, th proposed algorithms are able to learn sparse distance metrics fro high-dimensional data in an efficient and scalable manner. Ou experimental results show that the proposed method achieves bette or at least comparable accuracy performance than th state-of-the-art non-sparse distance metric learning approaches, bu enjoys a significant advantage in computational efficiency an sparsity, making it more practical for real-world applications."
Strategyproof exchange with multiple private endowments,"Taiki Todo, Haixin Sun and Makoto Yokoo",Game Theory and Economic Paradigms (GTEP),"Mechanism desig Exchang Manipulatio Strategyproofness","GTEP: Auctions and Market-Based System GTEP: Game Theor MAS: E-Commerc MAS: Mechanism Design","We study a mechanism design problem for exchange economies where each agent is initially endowed with a set of indivisible goods and side payments are not allowed. We assume each agent can withhold some endowments, as well as misreport her preference. Under this assumption, strategyproofness requires that for each agent, reporting her true preference with revealing all her endowments is a dominant strategy, and thus implies individual rationality. Our objective in this paper is to analyze the effect of such private ownership in exchange economies with multiple endowments.  As fundamental results, we first show that the revelation principle holds under a natural assumption and that strategyproofness and Pareto efficiency are incompatible even under the lexicographic preference domain. We then propose a class of exchange rules, each of which has a corresponding directed graph to prescribe possible trades, and provide a necessary and sufficient condition on the graph structure so that the rule satisfies strategy-proofness."
Mechanism design for mobile geo-location advertising,"Nicola Gatti, Marco Rocco, Sofia Ceppi and Enrico H. Gerding","Game Theory and Economic Paradigms (GTEP Multiagent Systems (MAS)","Mechanism Desig Auction Computational Advertisin Mobile Advertisin Game Theory (cooperative and non–cooperative)","GTEP: Auctions and Market-Based System GTEP: Game Theor MAS: Mechanism Design","Mobile geo-location advertising, where mobile ads are targeted based on a user's location, has been identified as a key growth factor for the mobile market. As with online advertising, a crucial ingredient for their success is the development of effective economic mechanisms. An important difference is that mobile ads are shown sequentially over time and information about the user can be learned based on their movements. Furthermore, ads need to be shown selectively to prevent ad fatigue. To this end, we introduce, for the first time, a user model and suitable economic mechanisms which take these factors into account. Specifically, we design two truthful mechanisms which produce an advertisement plan based on the user's movements. One mechanism is allocatively efficient, but requires exponential compute time in the worst case. The other requires polynomial time, but  is not allocatively efficient. Finally, we experimentally evaluate the trade-off between compute time and efficiency of our mechanisms."
A Propagator Design Framework for Constraints over Sequences,"Jean-Noël Monette, Pierre Flener and Justin Pearson",Search and Constraint Satisfaction (SCS),"Constraint Programmin Global Constraint Stepwise Refinemen Tuple Variables","SCS: Constraint Satisfactio SCS: Global Constraints",Constraints over variable sequences are ubiquitous and many of their propagators have been inspired by dynamic programming (DP).  We propose a conceptual framework for designing such propagators: pruning rules are refined upon the application of transformation operators to a DP-style formulation of a constraint; a representation of the variable domains is picked; and a coordination of the pruning rules is picked Regression Model and Privacy Preserved Learning by Matrix Completion,"Jinfeng Yi, Jun Wang and Rong Jin","Applications (APP Machine Learning Applications (MLA Novel Machine Learning Algorithms (NMLA)","Regression analysi Privac Matrix completion","APP: Biomedical / Bioinformatic APP: Computational Social Scienc APP: Security and Privac MLA: Bio/Medicin MLA: Applications of Supervised Learnin MLA: Machine Learning Applications (General/other MAS: Mechanism Desig NMLA: Data Mining and Knowledge Discover NMLA: Feature Construction/Reformulatio NMLA: Machine Learning (General/other RU: Uncertainty in AI (General/Other)","Sensitive data such as medical records and business reports usually contains valuable information that can be used to build prediction models. However, designing learning models by directly using sensitive data might result in severe privacy and copyright issues. In this paper, we propose a novel matrix completion based framework that is able to handle two challenging issues simultaneously: i) recovering missing and noisy sensitive data, and ii) preserving the privacy of the sensitive data during the learning process. In particular, the proposed framework is able to mask the sensitive data while ensuring that the transformed data are still usable for training regression models. We show that two key properties, namely \emph{model preserving} and \emph{privacy preserving}, are satisfied by the transformed data obtained from the proposed framework. In \emph{model preserving}, we guarantee that the linear regression model built from the masked data approximates the regression model learned from the original data in a perfect way. In \emph{privacy preserving}, we ensure that the original sensitive data cannot be recovered since the transformation procedure is irreversible. Given these two characteristics, the transformed data can be safely released to any learners for designing prediction models without revealing any private content. Our empirical studies with a synthesized dataset and multiple sensitive benchmark datasets verify our theoretical claim as well as the effectiveness of the proposed framework."
A Constructive Argumentation Framework,Souhila Kaci and Yakoub Salhi,,"Logic-based Argumentatio Constructive Argument Intuitionistic Logic",KRR: Argumentation,"Dung’s argumentation framework is an abstract framework based on a set of arguments and a binary attack relation defined over the set. One instantiation, among many others, of Dung’s framework consists in constructing the arguments from a set of propositional logic formulas. Thus an argument is seen as a reason for or against the truth of a particular statement. Despite its advantages, the argumentation approach for inconsistency handling also has important shortcomings. More precisely, in some applications what one is interested in are not so much only the conclusions supported by the arguments but also to the precise explications of such conclusions. We show that argumentation framework applied to classical logic formulas is not suitable to deal with this problem. On the other hand, intuitionistic logic appears to be a natural alternative candidate logic (instead of classical logic) to instantiate Dung’s framework. We develop constructive argumentation framework. We show that intuitionistic logic offers nice and desirable properties of the arguments. We also provide a characterization of the arguments in this setting in terms of minimal inconsistent subsets when intuitionistic logic is embedded in the modal logic S4."
Point-based POMDP solving with factored value function approximation,"Tiago Veiga, Matthijs Spaan and Pedro Lima","Planning and Scheduling (PS Reasoning under Uncertainty (RU)","POMD Value function approximatio Point-based methods","PS: Probabilistic Plannin PS: Planning (General/Other RU: Sequential Decision Makin RU: Uncertainty in AI (General/Other)","Partially observable Markov decision processes (POMDPs) provide a principled mathematical framework for modeling autonomous decision-making problems. POMDP solutions are often represented by a value function comprised of a set of vectors. In the case of factored models, the size of these vectors grows exponentially with the number of state factors, leading to scalability issues. We consider an approximate value function representation based on a linear combination of basis functions. In particular, we present a backup operator that can be used in any point-based POMDP solvers. Furthermore, we show how independence between observation factors can be exploited for large computational gains. We experimentally verify our contributions and show that they can improve point-based methods in policy quality and solution size."
A Multiarmed Bandit Incentive Mechanism for Crowdsourcing Demand Response in Smart Grids,"Shweta Jain, Balakrishnan Narayanaswamy and Yadati Narahari","Computational Sustainability and AI (CSAI Game Theory and Economic Paradigms (GTEP Human-Computation and Crowd Sourcing (HCC)","CSAI: Modeling the interactions of agents with different and often conflicting interest GTEP: Auctions and Market-Based System HCC: Game-theoretic mechanism design of incentives for motivation and honest reporting","CSAI: Modeling the interactions of agents with different and often conflicting interest GTEP: Auctions and Market-Based System HCC: Game-theoretic mechanism design of incentives for motivation and honest reporting","Demand response is a critical part of renewable integration and energy cost reduction goals across the world. Motivated by the need to reduce costs arising from electricity shortage and renewable energy fluctuations, we propose a novel  multiarmed bandit mechanism for demand response (MAB-MDR) which makes monetary offers  to strategic consumers who have unknown response characteristics. Our work is inspired by  connection to and intuition from crowdsourcing mechanisms.  The proposed mechanism incorporates realistic features such as a time varying and quadratic cost function. The mechanism marries auctions, that allow users to report their preferences, with online algorithms, that allow distribution companies to learn user-specific parameters. We show that MAB-MDR is dominant strategy incentive compatible, individually rational, and achieves sublinear regret. Such mechanisms can be effectively deployed in smart grids using new information and control architecture innovations and lead to welcome savings in energy costs."
Binary Aggregation by Selection of the Most Representative Voter,Ulle Endriss and Umberto Grandi,"Game Theory and Economic Paradigms (GTEP Knowledge Representation and Reasoning (KRR Multiagent Systems (MAS)","Computational Social Choic Approximatio Judgment Aggregation","GTEP: Social Choice / Votin KRR: Preference MAS: Multiagent Systems (General/other)","In binary aggregation, a group of voters each express yes/no choice regarding a number of possibly correlated issues and we are asked t decide on a collective choice that accurately reflects the views of thi group. A good collective choice will minimise the distance to each o the individual choices, but using such a distance-based aggregation rul is computationally intractable. Instead, we explore a class o low-complexity aggregation rules that select the most representativ voter in any given situation and return that voter's choice as th collective outcome."
Pairwise-Covariance Linear Discriminant Analysis,"Deguang Kong, Chris Ding and Qihe Pan","Applications (APP Machine Learning Applications (MLA)","linear discriminant analysi gradien pairwis covariance",,"In machine learning, linear discriminant analysis (LDA) is  popular dimension reduction method. In this paper, we first pro vide a new perspective of LDA from information theory per spective. From this new perspective, we propose a new formula tion of LDA, which uses the pairwise averaged class covarianc instead of the globally averaged class covariance used in stan dard LDA. This pairwise (averaged) covariance describes dat distribution more accurately. The new perspective also provide a natural way to properly weight different pairwise distances which emphasizes the pairs of class with small distances, an this leads to the proposed pairwise covariance properly weight ed LDA (pcLDA). The kernel version of pcLDA is presented t handle nonlinear projections. Efficient algorithms are presente to efficiently compute the proposed models."
State Aggregation in Monte Carlo Tree Search,"Jesse Hostetler, Alan Fern and Tom Dietterich","Planning and Scheduling (PS Reasoning under Uncertainty (RU)","markov decision proces monte carlo tree searc state abstraction","PS: Probabilistic Plannin RU: Sequential Decision Making","Monte Carlo tree search (MCTS) is a popular class of algorithms for online decision making in large Markov decision processes (MDPs). The effectiveness of these algorithms, however, often deteriorates for MDPs with high stochastic branching factors. In this paper, we study state aggregation as a way of reducing stochastic branching in tree search. Prior work has studied formal properties of MDP state aggregation in the context of dynamic programming and reinforcement learning, but little attention has been paid to state aggregation in MCTS. Our main contribution is to establish basic results about the optimality-preserving properties of state aggregation for search trees. We then apply these results to show that popular MCTS algorithms such as UCT and sparse sampling can employ fairly coarse state aggregation schemes while retaining their theoretical properties. As a proof of concept, we experimentally confirm that state aggregation in MCTS improves finite-sample performance."
Saturated Path-Constrained MDP: Planning under Uncertainty and Deterministic Model-Checking Constraints,"Jonathan Sprauel, Andrey Kolobov and Florent Teichteil-Königsbuch","Planning and Scheduling (PS Reasoning under Uncertainty (RU)","Safe and Optimal Controller Synthesi Uncertainty and Stochasticit Planning under Uncertaint Model-Checking PCTL Constraint Path-Constrained Markov Decision Processes","PS: Markov Models of Environment PS: Probabilistic Plannin PS: Planning (General/Other RU: Sequential Decision Makin SCS: Constraint Satisfaction (General/other)","In many probabilistic planning scenarios, a system's behavior needs to not only maximize the expected utility but also obey certain restrictions. This paper presents Saturated Path-Constrained Markov Decision Processes (SPC MDPs), a new MDP type for planning under uncertainty with deterministic model-checking constraints, e.g., ""state s must be visited before s'"", ""the system must end up in s"", or ""the system must never enter s"". We present a mathematical analysis of SPC MDPs, showing that although SPC MDPs generally have no optimal policies, every instance of this class has an epsilon-optimal randomized policy for any epsilon > 0. We propose a dynamic programming-based algorithm for finding such policies, and empirically demonstrate this algorithm to be orders of magnitude faster than its next-best alternative."
Bounding the Support Size in Extensive Form Games with Imperfect Information,"Martin Schmid, Matej Moravcik and Milan Hladik",Game Theory and Economic Paradigms (GTEP),"Game theor Nash equilibriu Suppor Extensive form game Bayesian extensive game Poke Equilibrium preserving transformation","GTEP: Game Theor GTEP: Equilibriu GTEP: Imperfect Information","It's a well known fact that in extensive form games with perfect information, there is a Nash equilibrium with support of size one. This doesn't hold for games with imperfect information, where the size of minimal support can be larger. We present a dependency between the level of uncertainty and the minimum support size. For many games, there is a big disproportion between the game uncertainty and the number of actions available. In Bayesian extensive games with perfect information, the only uncertainty is about the type of players. In card games, the uncertainty comes from dealing the deck. In these games, we can significantly reduce the support size. Our result applies to general-sum extensive form games with any finite number of players."
Exploiting Support Sets for Answer Set Programs with External Evaluations,"Thomas Eiter, Michael Fink, Christoph Redl and Daria Stepanova",Knowledge Representation and Reasoning (KRR),"Answer Set Programmin External Source Description Logic Programs","KRR: Ontologie KRR: Description Logic KRR: Knowledge Representation Language KRR: Logic Programmin KRR: Nonmonotonic Reasonin KRR: Knowledge Representation (General/Other)","Answer set programs (ASP) with external evaluations are a declarative means to capture advanced applications. However, their evaluation can be expensive due to external source accesses. In this paper we consider hex-programs that provide external atoms as a bidirectional interface to external sources and present a novel evaluation method based on support sets, which informally are portions of the input to an external atom that will determine its output for any completion of the partial input. Support sets allow one to shortcut the external source access, which can be completely eliminated. This is particularly attractive if a compact representation of suitable support sets is efficiently constructible. We discuss some applications with this property, among them description logic programs over DL-Lite ontologies, and present experimental results showing that support sets can significantly improve efficiency."
Towards Topological-transformation Robust Shape Comparison:  A Sparse Representation Based Manifold Embedding Approach,Longwen Gao and Shuigeng Zhou,Vision (VIS),"Shape Compariso Manifold Embeddin Sparse Representation",VIS: Object Recognition,"Non-rigid shape comparison based on manifold embedding using Generalized Multidimensional Scaling (GMDS) has attracted a lot of attention for its high accuracy. However, this method requires that shape surface is not elastic. In other words, it is sensitive to topological transformations such as stretching and compressing. To tackle this problem, we propose a new approach that constructs a high-dimensional space to embed the manifolds of shapes, which could completely withstand rigid transformations and considerably tolerate topological transformations. Experiments on TOSCA shapes validate the proposed approach."
Uncorrelated Multi-view Fisher Discrimination Dictionary Learning For Recognition,"Xiao-Yuan Jing, Rui-Min Hu, Fei Wu, Xi-Lin Chen, Qian Liu and Yong-Fang Yao",Vision (VIS),"Fisher discrimination Dictionary learning (FDDL Multi-view FDDL (MFDDL Uncorrelated MFDDL (UMFDDL Uncorrelated constraint","NMLA: Supervised Learning (Other VIS: Categorizatio VIS: Object Recognition","Dictionary learning (DL) has now become an important feature learning technique that owns state-of-the-art recog-nition performance. Due to sparse characteristic of data in real-world applications, dictionary learning uses a set of learned dictionary bases to represent the linear decomposi-tion of a data point. Fisher discrimination DL (FDDL) is a representative supervised DL method, which constructs a structured dictionary whose atoms correspond to the class labels. Recent years have witnessed a growing interest in multi-view (more than two views) feature learning tech-niques. Although some multi-view (or multi-modal) DL methods have been presented, there still exists much room for improvement. How to enhance the total discriminability of dictionaries and reduce their redundancy is a crucial re-search topic. To boost the performance of multi-view dic-tionary learning technique, we propose an uncorrelated multi-view fisher discrimination DL (UMFDDL) approach for recognition. By making dictionary atoms correspond to the class labels such that the obtained reconstruction error is discriminative, UMFDDL aims to jointly learn multiple dic-tionaries with totally favorable discriminative power. Fur-thermore, we design the uncorrelated constraint for multi-view DL, so as to reduce the redundancy among dictionaries learned from different views. Experiments on several public datasets demonstrate the effectiveness of the proposed approach."
Semantic Data Representation for Improving Tensor Factorization,"Makoto Nakatsuji, Yasuhiro Fujiwara, Hiroyuki Toda, Hiroshi Sawada, Jin Zheng and James Hendler","AI and the Web (AIW Novel Machine Learning Algorithms (NMLA)","Collaborative Filterin Recommender Syste Tensor Factorizatio Rating predictio Bayesian probabilistic tensor factorizatio Linked Open Dat Taxonom Semantics on the web","AIW: Exploiting Linked Open Dat AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomie AIW: Web-based recommendation system NMLA: Data Mining and Knowledge Discover NMLA: Recommender Systems","Predicting human activities is important for improving recommendatio  systems or analyzing social relationships among users. Those huma  activities are usually represented as multi-object relationship  (e.g. user's tagging activity for items or user's tweeting activity a  some location).  Since multi-object relationships are naturall  represented as a tensor, tensor factorization is becoming mor  important for predicting users' possible activities.  However, th  prediction accuracy of tensor factorization is weak for ambiguou  and/or sparsely observed objects. Our solution, Semantic dat  Representation for Tensor Factorization (SRTF), tackles these problem  by incorporating semantics into tensor factorization based on th  following ideas: (1) it links objects to vocabularies/taxonomies an  resolves the ambiguity caused by objects that can be used for multipl  purposes. (2) it links objects to composite classes that merge classe  in different kinds of vocabularies/taxonomies (e.g. classes i  vocabularies for movie genres and those for directors) to avoid lo  prediction accuracy caused by rough-grained semantic space.  (3) i  lifts sparsely observed objects into their classes to solve th  sparsity problem for rarely observed objects  Experiments show that SRTF achieves 10\% higher accuracy than curren  best methods."
Local-To-Global Consistency Implies Tractability of Abduction,Michał Wrona,Knowledge Representation and Reasoning (KRR),"Diagnosis and Abductive Reasonin Spatial and Temporal Reasonin Local Consistenc Computational Complexity","KRR: Computational Complexity of Reasonin KRR: Diagnosis and Abductive Reasonin KRR: Geometric, Spatial, and Temporal Reasonin KRR: Nonmonotonic Reasonin KRR: Qualitative Reasoning","Abduction is a form of nonmonotonic reasoning that looks for an explanation, built from a  given set of hypotheses, for an observed manifestation according to some knowledge base Following the concept behind the Schaefer's parametrizatio CSP(Gamma) of the Constraint Satisfaction Problem (CSP) we study here the complexity of the abduction proble Abduction(Gamma, Hyp, M) parametrized by certain (omega-categorical) infinite relational structures Gamma, Hyp, and  from which a knowledge base, hypotheses and a manifestation are built, respectively We say that Gamma  has local-to-global consistency i there is k such that establishing strong k-consistency on an instance of CSP(Gamma) yields a globally consistent (whose every solution may be obtained straightforwardly from partial solutions) set of constraints In this case CSP(Gamma) is solvable in polynomial time Our main contribution is an algorithm that under some natural condition decides  Abduction(Gamma, Hyp, M) in P when Gamm has local-to-global consistency. As we show in the number of examples, our approach offer an opportunity to consider abductio in the context of spatial and temporal reasoning (qualitative calculi such as Allen' interval algebra or RCC-5) and that our procedure solves some related abduction problems in polynomial time."
Generalized Higher-Order Tensor Decomposition via Parallel ADMM,"Fanhua Shang, Yuanyuan Liu and James Cheng",Novel Machine Learning Algorithms (NMLA),"Tensor decompositio Higher-order orthogonal iteratio Parallel Optimization","NMLA: Dimension Reduction/Feature Selectio NMLA: Feature Construction/Reformulatio NMLA: Unsupervised Learning (Other)","Higher-order tensors are becoming prevalent in many scientific areas such as computer vision, social network analysis, data mining and neuroscience. Traditional tensor decomposition approaches face three major challenges: model selecting, gross corruptions, and computational efficiency. To address these problems, we first propose a parallel trace norm regularized tensor decomposition method, and formulate it as a convex optimization problem. This method does not require the rank of each model to be specified beforehand, and can automatically determine the number of factors in each mode through our optimization scheme. By considering the low-rank structure of the observed tensor, we analyze the equivalent relationship of the trace norm between a low-rank tensor and its core tensor. Then, we cast a non-convex tensor decomposition model into a weighted combination of multiple much smaller-scale matrix trace norm minimization. Finally, we develop two parallel alternating direction methods of multipliers (ADMM) to solve the proposed problems. Experimental results verify that our regularized formulation is reasonable, and our methods are very robust to noise or outliers."
Abduction Framework for Repairing Incomplete  EL Ontologies:  Complexity Results and Algorithms,"Fang Wei-Kleiner, Zlatan Dragisic and Patrick Lambrix","AI and the Web (AIW Knowledge Representation and Reasoning (KRR)","ontology debuggin ontology engineerin description logics","AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomie KRR: Ontologie KRR: Description Logic KRR: Diagnosis and Abductive Reasoning","In this paper we consider the problem of repairing missing is-a relations in ontologies. We formalize the problem as a generalized TBox abduction problem (GTAP) Based on this abduction framework, we present complexity results for the existence, relevance and necessity decision problems for the GTAP with and without som specific preference relations for ontologies that can be represented using a member of the EL family of description logics. Further, we present an algorithm for finding solutions, a system as well as experiments."
Mixing-time Regularized Policy Gradient,"Tetsuro Morimura, Takayuki Osogami and Tomoyuki Shirai",Novel Machine Learning Algorithms (NMLA),"Reinforcement learnin Policy gradien Markov chain mixing time","CS: Problem solving and decision makin NMLA: Reinforcement Learnin RU: Sequential Decision Making","Policy gradient reinforcement learning (PGRL) methods have received substantial attention as a mean for seeking stochastic policies that maximize a cumulative reward. However, PGRL methods can often take a huge number of learning steps before it finds a reasonable stochastic policy. This learning speed depends on the mixing time of the Markov chains that are given by the policies that PGRL explores. In this paper, we give a new PGRL approach that regularizes the rule of updating the policy with the hitting time that bounds the mixing time. In particular, hitting-time regressions based on temporal-difference learning are proposed. The proposed approach will keep the Markov chain compact and can improve the learning efficiency. Numerical experiments show the proposed method outperforms the conventional policy gradient methods."
Exploring the Boundaries of Decidable Verification of Non-Terminating Golog Programs,"Jens Classen, Martin Liebenberg, Gerhard Lakemeyer and Benjamin Zarrieß",Knowledge Representation and Reasoning (KRR),"Situation Calculu Golo Verification","KRR: Action, Change, and Causalit KRR: Geometric, Spatial, and Temporal Reasoning","The action programming language \Golog\ has been found useful for the control of autonomous agents such as mobile robots. In scenarios like these, tasks are often open-ended so that the respective control programs are non-terminating. Before deploying such programs on a robot, it is often desirable to verify that they meet certain requirements. For this purpose, Claßen and Lakemeyer recently introduced algorithms for the verification of temporal properties of Golog programs. However, given the expressiveness of Golog, their verification procedures are not guaranteed to terminate. In this paper, we show how decidability can be obtained by suitably restricting the underlying base logic, the effect axioms for primitive actions, and the use of actions within Golog programs.  Moreover, we show that dropping any of these restrictions immediately leads to undecidability of the verification problem."
Using Timed Game Automata to Synthesize Execution Strategies for Simple Temporal Networks with Uncertainty,"Alessandro Cimatti, Luke Hunsberger, Andrea Micheli and Marco Roveri","Planning and Scheduling (PS Reasoning under Uncertainty (RU)","Dynamic Controllabilit Strategy Synthesi Simple Temporal Networks with Uncertaint Timed Game Automata","PS: Plan Execution and Monitorin PS: Schedulin RU: Uncertainty in AI (General/Other)","A Simple Temporal Network with Uncertainty (STNU) is a structure fo representing and reasoning about temporal constraints in domains wher some temporal durations are not controlled by the executor.  The mos important property of an STNU is whether it is dynamicall controllable (DC); that is, whether there exists a strategy fo executing the controllable time-points that guarantees that al constraints will be satisfied no matter how the uncontrollabl durations turn out This paper provides a novel mapping from STNUs to Timed Game Automat (TGAs) that: (1) explicates the deep theoretical relationships betwee STNUs and TGAs; and (2) enables the memoryless strategies generate from the TGA to be transformed into equivalent STNU executio strategies that reduce the real-time computational burden for th executor.  The paper formally proves that the STNU-to-TGA encodin properly captures the execution semantics of STNUs.  It also provide experimental evidence of the proposed approaches, generating offlin execution strategies for dynamically controllable STNUs encoded a TGAs."
Adaptation Guided Case Base Maintenance,Vahid Jalali and David Leake,Novel Machine Learning Algorithms (NMLA),"Adaptation-Guided Case-Based Maintenanc Case-Based Maintenanc Case-Based Reasoning",NMLA: Case-Based Reasoning,"In case-based reasoning (CBR), problems are solved by retrieving prior cases and adapting their solutions to fit new problems. Controlling the growth of the case base in CBR is a fundamental problem. Much research on case-base maintenance has developed methods aimed at compacting case bases while maintaining system competence, by deleting cases whose absence is considered least likely to degrade the system's problem-solving, given static case adaptation knowledge. This paper proposes adaptation-guided case-base maintenance (AGCBM), a case-base maintenance approach exploiting the ability to dynamically generate new adaptation knowledge from cases. In AGCMB, case retention decisions are based both on their value as base cases for solving problems and on their value for generating new adaptation rules, in turn increasing the problem-solving value of other cases in the case base. The paper tests the method for numerical prediction tasks (case-based regression) in which rules are generated automatically using the case difference heuristic. Tests on four sample domains compare accuracy with a set of five candidate case-based maintenance methods, for varying case-base densities. AGCBM outperformed the alternatives all domains, with the benefit most substantial for the greatest amounts of compression."
